date,headphone_audio_avg,headphone_audio_min,headphone_audio_max,count
2023-12-26,64.73824285714286,42.4087,78.1902,14
2023-12-27,63.52357272727273,31.4051,80.5482,33
2023-12-28,58.447635416666664,15.8206,77.0532,48
2023-12-29,64.99198181818181,45.4689,81.17,22
2023-12-30,59.15252666666667,35.9384,75.0106,30
2023-12-31,68.3723,68.3723,68.3723,1
2024-01-01,64.40333157894736,47.6155,91.5548,19
2024-01-02,72.70913333333334,71.4449,73.4119,6
2024-01-05,56.00119285714286,46.4515,63.3951,14
2024-01-06,60.94772666666667,43.7501,94.0617,45
2024-01-07,73.19150673076923,53.5303,87.7455,104
2024-01-08,67.22513333333333,54.7082,82.6216,6
2024-01-09,64.64746666666667,61.7992,68.861,3
2024-01-11,67.0780530612245,32.6223,78.8186,98
2024-01-12,54.300379166666666,25.2951,73.6956,72
2024-01-13,64.34037428571429,30.6422,83.4731,35
2024-01-14,68.40152222222223,50.8722,83.3563,9
2024-01-15,69.41651764705882,45.2425,77.8669,17
2024-01-16,70.39406666666666,64.105,76.1959,6
2024-01-17,64.28905357142857,44.8156,77.0605,28
2024-01-18,68.164445,52.9372,81.606,20
2024-01-19,65.01107307692308,45.7554,73.4868,26
2024-01-20,65.83093684210526,34.7256,78.7814,19
2024-01-21,68.24801,60.9723,74.3981,10
2024-01-22,66.95660000000001,61.5853,71.7569,5
2024-01-23,70.69024814814814,53.2593,83.1511,27
2024-01-24,59.704860000000004,35.1141,71.8967,15
2024-01-25,60.277116666666664,24.6407,73.8494,30
2024-01-26,65.71068235294118,59.6309,71.0748,17
2024-01-27,66.62400000000001,64.2125,69.2512,3
2024-01-28,72.1969,54.0648,78.6153,8
2024-01-29,58.60001666666667,48.8223,71.4952,6
2024-01-30,61.704863157894735,25.0982,82.6138,38
2024-01-31,74.11798461538461,60.6744,88.7275,52
2024-02-01,72.63062857142857,61.4385,79.1189,7
2024-02-02,73.8401688888889,42.8947,83.8446,45
2024-02-03,53.752627272727274,16.7749,66.2635,11
2024-02-05,54.072649999999996,36.4694,63.9386,4
2024-02-07,58.70742666666667,35.1473,81.0828,15
2024-02-08,73.0022,58.2978,78.0708,12
2024-02-09,58.26193333333333,48.825,73.6408,3
2024-02-10,58.450982857142854,3.02706,78.1436,14
2024-02-11,57.862966666666665,43.6861,69.1301,12
2024-02-12,57.54824285714285,40.4877,64.9556,7
2024-02-13,62.90698421052632,34.538,78.204,38
2024-02-14,52.750564545454544,7.59021,66.4385,11
2024-02-15,72.00450833333333,35.0396,86.1877,24
2024-02-16,55.70519230769231,30.1188,74.7577,13
2024-02-17,72.78846384615385,4.71235,100.992,65
2024-02-18,61.265346666666666,37.5992,78.9591,15
2024-02-19,78.4058388888889,51.8085,88.1825,18
2024-02-20,60.3374125,42.8481,75.677,8
2024-02-21,60.62096642727273,0.181507,97.1742,110
2024-02-22,66.78115862068965,47.6429,78.0389,29
2024-02-23,65.77436907708334,0.0578157,85.158,48
2024-02-24,54.77138235294118,26.8548,72.0795,17
2024-02-25,65.53555,50.8722,80.3599,4
2024-02-26,72.1651375,54.8892,82.3398,8
2024-02-27,61.82237249999999,30.0234,76.1472,40
2024-02-28,62.75326785714286,46.8722,71.13,28
2024-02-29,62.66231304347826,50.2271,76.5556,23
2024-03-01,62.45223703703704,19.874,73.9596,27
2024-03-02,63.28957272727273,49.7445,75.9217,22
2024-03-03,68.7629625,53.0755,77.1128,16
2024-03-04,61.03869999999999,42.8723,69.4889,5
2024-03-05,54.45693461538462,25.3674,75.4225,26
2024-03-06,62.56972162162162,40.4494,74.3972,37
2024-03-07,63.4367,51.4855,69.5999,3
2024-03-08,56.01745,54.8324,57.2025,2
2024-03-09,61.08828518518518,51.8015,82.5893,27
2024-03-10,59.85014210526316,37.9943,68.0353,19
2024-03-11,58.670751764705884,9.04848,73.1844,17
2024-03-12,64.30435454545454,48.407,71.9348,11
2024-03-13,46.689233333333334,27.1103,70.0289,3
2024-03-14,74.97634666666666,56.3329,97.937,30
2024-03-15,59.716729166666674,38.6986,70.9212,24
2024-03-16,56.96527999999999,40.168,71.6087,20
2024-03-17,68.94768666666667,54.6685,82.298,15
2024-03-18,65.811175,54.2227,76.2359,32
2024-03-19,56.85472307692308,36.7188,79.7621,13
2024-03-20,63.88862777777778,48.796,81.2554,90
2024-03-21,74.9054093457944,38.8414,86.2902,107
2024-03-22,61.44667647058823,23.5133,81.6595,17
2024-03-23,66.5594238095238,48.3903,91.34,21
2024-03-24,64.3790052631579,28.1395,84.1078,38
2024-03-25,62.27301818181818,47.6945,77.2486,22
2024-03-26,58.56511818181818,9.522,76.8296,33
2024-03-27,56.3388,53.1677,61.1688,4
2024-03-28,72.510336,43.2168,83.1643,50
2024-03-29,73.1349825,56.3976,80.8845,40
2024-03-30,79.77564101123595,51.1881,93.6237,178
2024-03-31,79.44190277777777,23.7763,91.0047,180
2024-04-01,67.21757222222223,55.0089,80.369,36
2024-04-02,74.25546666666666,57.7309,79.4118,42
2024-04-03,71.00651176470588,40.3099,84.5041,102
2024-04-04,76.74883622047244,51.9793,90.1355,127
2024-04-05,63.91178333333333,24.4606,85.3909,108
2024-04-06,57.37103248333334,0.452441,79.1262,60
2024-04-07,69.4114375,59.7938,77.9276,16
2024-04-08,68.51145789473684,45.2023,77.7318,19
2024-04-09,67.14797692307693,41.3723,78.4658,13
2024-04-10,66.13359836065574,48.6992,76.7705,61
2024-04-11,58.95697586206897,37.5866,73.7102,29
2024-04-12,65.6324484848485,32.6055,77.2806,33
2024-04-13,69.89497727272727,47.0418,80.2059,22
2024-04-14,79.08421758241758,41.4668,87.9434,91
2024-04-15,72.60112962962964,60.2526,81.6801,27
2024-04-16,74.74015630645162,0.477791,84.025,62
2024-04-17,72.5622,54.2569,77.7837,45
2024-04-18,73.40099615384615,58.409,81.1882,26
2024-04-19,67.64115483870967,56.9995,76.5627,31
2024-04-20,64.93408333333333,49.9046,79.3531,42
2024-04-21,63.68425806451613,40.7623,76.3676,31
2024-04-22,68.71387631578948,54.4711,78.0354,38
2024-04-23,68.9308925925926,44.9579,79.2856,27
2024-04-24,64.91007446808511,49.645,77.3287,47
2024-04-25,55.246185545454544,0.662441,74.6505,11
2024-04-26,60.49429111111112,38.0082,75.3828,45
2024-04-27,71.87322873563218,46.399,80.6415,87
2024-04-28,63.696873913043476,34.0009,78.8257,23
2024-04-29,67.26992222222222,37.9705,84.93,36
2024-04-30,63.9372375,31.4491,78.2266,32
2024-05-01,51.1439,49.8574,52.1713,3
2024-05-02,56.84397848,0.205862,81.9486,25
2024-05-03,92.2535,86.653,94.8051,11
2024-05-05,59.70577619047619,27.3064,75.3147,21
2024-05-06,59.50250303030303,13.6021,76.0801,33
2024-05-07,62.4456,20.2766,74.27,33
2024-05-08,62.9496075,35.104,75.4461,40
2024-05-09,69.696775,56.5143,81.253,20
2024-05-10,66.88533863636364,36.6425,78.9851,44
2024-05-11,71.72558285714285,47.5861,87.07,35
2024-05-12,71.25654166666666,47.646,88.8687,24
2024-05-13,72.2547625,59.0072,82.8057,32
2024-05-14,71.75127499999999,30.4809,85.9238,52
2024-05-15,67.01493783783785,39.1983,80.7446,37
2024-05-16,60.18532592592593,8.4581,79.044,81
2024-05-17,67.03091857142857,24.9014,83.9728,70
2024-05-18,62.978360625,1.30387,81.5883,16
2024-05-19,68.67341428571429,46.8136,79.4445,21
2024-05-20,64.93217727272727,56.6376,73.6253,22
2024-05-21,54.323,54.323,54.323,1
2024-05-22,64.8845576923077,30.628,80.2284,26
2024-05-23,62.213352083333334,46.3616,77.0738,144
2024-05-24,86.10021666666667,72.8749,90.0088,6
2024-05-25,68.98743333333333,53.057,90.1129,15
2024-05-26,69.0322,50.606,82.5845,13
2024-05-27,67.934834375,45.1488,85.2204,32
2024-05-29,62.68083076923077,28.4261,75.8138,13
2024-05-30,84.25894393939393,48.8606,95.4106,66
2024-05-31,56.07856538461538,35.461,65.3917,26
2024-06-01,60.87752804081632,0.143374,77.1453,49
