date,double_support_pct_avg,double_support_pct_min,double_support_pct_max,count
2023-12-26,0.29604545454545456,0.269,0.336,22
2023-12-27,0.29797142857142855,0.262,0.33,70
2023-12-28,0.2961129032258064,0.272,0.325,62
2023-12-29,0.307,0.263,0.326,42
2023-12-30,0.30201190476190476,0.262,0.339,84
2023-12-31,0.3052837837837838,0.261,0.341,74
2024-01-01,0.30335443037974685,0.254,0.342,79
2024-01-02,0.30076136363636363,0.242,0.333,88
2024-01-03,0.3042558139534884,0.278,0.333,43
2024-01-04,0.30918867924528304,0.265,0.341,53
2024-01-05,0.30475,0.26,0.332,32
2024-01-06,0.2994074074074074,0.225,0.342,54
2024-01-07,0.2950701754385965,0.246,0.323,57
2024-01-08,0.29937777777777774,0.251,0.336,45
2024-01-09,0.3050843373493976,0.254,0.34,83
2024-01-10,0.3041384615384615,0.219,0.344,65
2024-01-11,0.30353658536585365,0.262,0.327,41
2024-01-12,0.29977777777777775,0.269,0.336,27
2024-01-13,0.2916727272727273,0.258,0.333,55
2024-01-14,0.2951509433962264,0.256,0.329,53
2024-01-15,0.294625,0.251,0.33,72
2024-01-16,0.29512903225806447,0.25,0.326,62
2024-01-17,0.2926888888888889,0.248,0.33,45
2024-01-18,0.2928974358974359,0.251,0.32,39
2024-01-19,0.2928181818181818,0.254,0.329,33
2024-01-20,0.2921449275362319,0.236,0.331,69
2024-01-21,0.28707894736842104,0.237,0.338,38
2024-01-22,0.28683333333333333,0.248,0.328,42
2024-01-23,0.29826190476190473,0.251,0.332,42
2024-01-24,0.2915121951219512,0.246,0.326,41
2024-01-25,0.29358064516129034,0.26,0.352,31
2024-01-26,0.29013559322033894,0.256,0.316,59
2024-01-27,0.29576923076923073,0.251,0.339,52
2024-01-28,0.30003030303030304,0.26,0.353,66
2024-01-29,0.2972461538461539,0.252,0.333,65
2024-01-30,0.2974857142857143,0.263,0.335,35
2024-01-31,0.2857959183673469,0.254,0.32,49
2024-02-01,0.2932352941176471,0.271,0.318,17
2024-02-02,0.3034912280701754,0.259,0.351,57
2024-02-03,0.29425,0.272,0.331,8
2024-02-07,0.293,0.289,0.297,4
2024-02-08,0.3072121212121212,0.246,0.337,33
2024-02-09,0.2813,0.248,0.3,10
2024-02-10,0.3043061224489796,0.27,0.334,49
2024-02-11,0.3124,0.293,0.331,5
2024-02-13,0.3000416666666667,0.265,0.326,24
2024-02-15,0.2902,0.243,0.344,35
2024-02-17,0.29633333333333334,0.259,0.331,15
2024-02-18,0.3087540983606557,0.25,0.351,61
2024-02-19,0.29173076923076924,0.253,0.332,26
2024-02-21,0.2842173913043478,0.257,0.324,23
2024-02-22,0.3035,0.29,0.335,8
2024-02-23,0.28800000000000003,0.254,0.318,72
2024-02-24,0.2966493506493506,0.253,0.34,77
2024-02-25,0.29773684210526313,0.255,0.334,57
2024-02-26,0.28891836734693876,0.232,0.331,49
2024-02-27,0.2949245283018868,0.253,0.325,53
2024-02-28,0.28981250000000003,0.254,0.337,64
2024-02-29,0.29509836065573775,0.252,0.335,61
2024-03-01,0.2960632911392405,0.253,0.331,79
2024-03-02,0.29609302325581394,0.244,0.327,43
2024-03-03,0.2978103448275862,0.268,0.346,58
2024-03-04,0.29463380281690144,0.232,0.339,71
2024-03-05,0.2866666666666667,0.251,0.313,48
2024-03-06,0.2838409090909091,0.227,0.322,44
2024-03-07,0.2969375,0.254,0.328,48
2024-03-08,0.3044,0.242,0.333,45
2024-03-09,0.29679629629629634,0.261,0.335,54
2024-03-10,0.29343589743589743,0.261,0.322,39
2024-03-11,0.29101612903225804,0.258,0.325,62
2024-03-12,0.2884905660377358,0.262,0.322,53
2024-03-13,0.29554098360655734,0.269,0.329,61
2024-03-14,0.2942909090909091,0.251,0.334,55
2024-03-15,0.29311627906976745,0.266,0.326,43
2024-03-16,0.28993939393939394,0.253,0.312,33
2024-03-17,0.2997123287671233,0.275,0.326,73
2024-03-18,0.29797959183673467,0.268,0.335,49
2024-03-19,0.30082089552238805,0.272,0.328,67
2024-03-20,0.2870188679245283,0.257,0.34,53
2024-03-21,0.2925505617977528,0.244,0.334,89
2024-03-22,0.29650877192982455,0.255,0.338,57
2024-03-23,0.29925,0.263,0.32,44
2024-03-24,0.2964,0.26,0.344,45
2024-03-25,0.2974035087719298,0.251,0.331,57
2024-03-26,0.2940232558139535,0.225,0.336,43
2024-03-27,0.28997368421052633,0.249,0.317,76
2024-03-28,0.2895510204081632,0.26,0.321,49
2024-03-29,0.29219999999999996,0.24,0.322,45
2024-03-30,0.2982857142857143,0.272,0.327,14
2024-03-31,0.2819047619047619,0.253,0.297,21
2024-04-01,0.28698181818181817,0.246,0.314,55
2024-04-02,0.2827857142857143,0.256,0.311,56
2024-04-03,0.28790196078431374,0.258,0.314,51
2024-04-04,0.2966666666666667,0.272,0.314,12
2024-04-05,0.28648214285714285,0.257,0.319,56
2024-04-06,0.28917241379310343,0.247,0.333,29
2024-04-07,0.2892,0.251,0.345,45
2024-04-08,0.2973095238095238,0.251,0.335,42
2024-04-09,0.28698412698412695,0.242,0.326,63
2024-04-10,0.29033333333333333,0.253,0.317,57
2024-04-11,0.2876666666666667,0.238,0.316,51
2024-04-12,0.28729411764705887,0.26,0.316,34
2024-04-13,0.2936153846153846,0.258,0.318,13
2024-04-14,0.2925,0.228,0.324,42
2024-04-15,0.2939318181818182,0.245,0.324,44
2024-04-16,0.2894722222222222,0.256,0.322,36
2024-04-17,0.29225806451612907,0.267,0.324,31
2024-04-18,0.28574999999999995,0.242,0.318,36
2024-04-19,0.29512499999999997,0.256,0.313,40
2024-04-20,0.29178571428571426,0.264,0.315,14
2024-04-21,0.28723076923076923,0.257,0.315,26
2024-04-22,0.29245098039215683,0.25,0.327,51
2024-04-23,0.28618,0.256,0.311,50
2024-04-24,0.28933333333333333,0.259,0.31,51
2024-04-25,0.28542105263157896,0.234,0.326,38
2024-04-26,0.2791388888888889,0.242,0.315,36
2024-04-27,0.2810666666666667,0.249,0.311,15
2024-04-28,0.28244117647058825,0.237,0.328,34
2024-04-29,0.2854333333333333,0.258,0.305,30
2024-04-30,0.2875128205128205,0.254,0.329,39
2024-05-01,0.29604109589041094,0.231,0.328,73
2024-05-02,0.29075409836065574,0.233,0.327,61
2024-05-03,0.2977671232876712,0.261,0.321,73
2024-05-04,0.28207692307692306,0.257,0.315,13
2024-05-05,0.2897868852459016,0.247,0.321,61
2024-05-06,0.2860943396226415,0.253,0.315,53
2024-05-07,0.28907692307692306,0.258,0.321,65
2024-05-08,0.2866444444444444,0.259,0.313,45
2024-05-09,0.28629268292682925,0.239,0.324,41
2024-05-10,0.2806086956521739,0.241,0.33,23
2024-05-11,0.2890714285714286,0.239,0.323,42
2024-05-12,0.28838541666666667,0.246,0.327,96
2024-05-13,0.2797428571428571,0.252,0.305,35
2024-05-14,0.2842222222222222,0.239,0.317,45
2024-05-15,0.2877096774193549,0.258,0.321,31
